Country_Code,Indicator_Name,Indicator_Code,2010,2011,2012,2013,2014,2015
IRN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.054509236,0.062587185,0.066082202,0.067081213,0.061903412,
THA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.041742122,0.046498652,0.052884615,0.054927454,0.054626217,0.05990194
MRT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.010322347,0.011252674,0.012537707,0.013378557,0.012947737,
TMP,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.025081492,0.033758021,0.03714178,0.034671189,0.02523391,0.02046472
GTM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.02426657,0.026318237,0.028940422,0.030996797,0.032511105,0.038264762
COM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.006881565,0.007160792,0.007258673,0.007443,0.007466213,
PAK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.009779066,0.01069469,0.011877828,0.012813265,0.013231264,0.01534854
DJI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
SVN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.222202101,0.228773366,0.219551282,0.21867345,0.222663264,0.240993392
KNA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.114541833,0.12173347,0.123585973,0.131807047,0.141385502,0.165849499
VEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.10440058,0.10964382,0.117835596,0.110985491,,
DNK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.550706266,0.571840417,0.571078431,0.581967213,0.585483414,0.624493711
TUR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.090184716,0.097182182,0.10086727,0.101752402,0.100463094,0.106054146
POL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.115085114,0.120152516,0.125282805,0.127284718,0.129382856,0.142506928
GNB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.004889533,0.005579838,0.00556184,0.005652911,0.005576033,0.006288638
SLV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.031238682,0.033479029,0.035162142,0.036272847,0.036764011,0.04199531
CZE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.173940601,0.180414768,0.181655354,0.180610514,0.176637369,0.192389682
IRQ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.039931184,0.044545708,0.057503771,0.064066327,0.060580285,0.05915583
MDV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.04853314,0.054310425,0.056089744,0.056529112,0.06114734,0.071093583
COG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.020191959,0.020738399,0.023661388,0.024684379,0.025706455,0.027073119
ZMB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.011861644,0.012926625,0.015648567,0.016487658,0.01644457,0.015988062
SLB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.008239768,0.010415698,0.014328808,0.017241379,0.017295152,0.020677894
TUN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.037758059,0.037198921,0.038744344,0.039193518,0.039315755,0.042315071
MNE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.062386816,0.067330047,0.065987934,0.069059732,0.069180607,0.077169047
WBG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.020916335,0.02380731,0.028940422,0.028829847,0.029203289,
GMB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.005342267,0.00483586,0.004901961,0.004710759,0.004347415,
DEU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.40555958,0.432251465,0.440045249,0.437064255,0.448917872,0.488062247
ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
IND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.01140891,0.013019622,0.014140271,0.014320708,0.014743408,0.016947346
SDN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.010865628,0.01311262,0.015554299,0.015733936,0.016161043,0.019612023
BFA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.005523361,0.005672835,0.006033183,0.006500848,0.006521123,0.007034747
HUN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.118525896,0.121361481,0.121134992,0.125777275,0.12607504,0.138456619
KSV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.030967041,0.033851018,0.035633484,0.037309214,0.037898119,0.042101897
CAF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.004255704,0.004463871,0.004524887,0.002920671,0.00292978,0.003410787
NRU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
YEM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.011318363,0.009857714,0.01112368,0.012247974,,
JPN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.3801159,0.420254813,0.450886124,0.436593179,0.395992817,0.390961415
MUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.072165882,0.077373756,0.084935897,0.091106086,0.091862773,0.102430185
VNM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.011499457,0.012926625,0.014611614,0.016393443,0.017956715,0.021104242
SGP,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.40555958,0.451315912,0.483597285,0.513190126,0.522918439,0.555212108
ARM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.030514306,0.031805078,0.035444947,0.037026569,0.037992628,0.041355788
BWA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.049619703,0.060541244,0.067496229,0.069059732,0.066439845,0.06938819
BOL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.016388989,0.018692458,0.021493213,0.024684379,0.02712409,0.032828821
PRY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.026530243,0.030224124,0.032334087,0.039381948,0.041489462,0.044979748
LUX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.720028975,0.703524598,0.69739819,0.692575843,0.76136471,0.820720529
KOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.193045998,0.210266902,0.232183258,0.243640475,0.254890842,0.292474952
CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.097790656,0.114851669,0.135369532,0.143866591,0.14157452,0.149861437
BEL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.432904745,0.437180322,0.443910256,0.445072546,0.444097911,0.472820294
FRO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
MDG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.00380297,0.003905887,0.004053544,0.004145468,0.004252906,0.004476657
SWZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.023542195,0.027992188,0.032616893,0.034671189,0.033550704,0.034427627
SWE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.488047809,0.521621873,0.553167421,0.57791596,0.572630186,0.616179919
LTU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.112549801,0.122942435,0.132730015,0.143866591,0.150552878,0.159880622
VGB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
BRB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.143607389,0.146377755,0.144325038,0.141511212,0.140440412,0.157748881
KAZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.067366896,0.078210732,0.096342383,0.115790465,0.118041773,0.123427841
MAF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
RWA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.00498008,0.005486841,0.006033183,0.006312418,0.006521123,0.007461096
TTO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.142792466,0.131684181,0.143947964,0.166855097,0.173707589,0.198251972
MNP,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
SRB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.052969938,0.054961406,0.053733032,0.057000188,0.055193271,0.058622895
UKR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.027073524,0.028922161,0.032993967,0.035613341,0.033361686,0.027925815
AZE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.048623687,0.051427509,0.059294872,0.069248163,0.071826859,0.069921126
GEO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.027164071,0.03068911,0.0364819,0.039947239,0.042434552,0.044340226
LKA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.022002898,0.026597229,0.031674208,0.0328811,0.034495794,0.040503091
PRT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.20789569,0.210731889,0.199377828,0.20105521,0.201209716,0.218823279
ATG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.114270192,0.115037664,0.121134992,0.122762389,0.125886022,0.142720102
CHN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.038935168,0.046498652,0.055335596,0.063218391,0.069936679,0.083351098
BIH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.04328142,0.044452711,0.044211916,0.045882796,0.04555335,0.049882754
MMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,0.012097155,
DOM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.047808765,0.050404538,0.053355958,0.055021669,0.056894433,0.065337881
MLT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.181908729,0.186924579,0.188536953,0.197851894,,
NZL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.265664614,0.29619641,0.343514329,0.369040889,0.390983839,0.427201023
OMN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.169956537,0.159490375,0.176941931,0.181646881,0.173329553,0.180345342
HTI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.005885549,0.006509811,0.007070136,0.007537215,0.00774974,0.008740141
LCA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.059760956,0.064168139,0.06561086,0.066986998,0.068613553,0.078767853
ECU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.039931184,0.045568679,0.050999246,0.054739024,0.057555997,0.064058836
MLI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.006609924,0.007067795,0.00744721,0.007725645,0.00774974,0.008420379
LBR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.002263673,0.002975914,0.003205128,0.003485962,0.003496834,0.004050309
SLE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.004255704,0.004649865,0.004901961,0.006877709,0.007277195,0.006714986
ISL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.332035494,0.349576862,0.382070136,0.436687394,0.45099707,0.530057557
GRD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.063835567,0.066772064,0.067496229,0.070755606,0.076363293,0.08985291
MKD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.042738138,0.0448247,0.044777526,0.047201809,0.049050184,0.05478576
WSM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.02924665,0.033386032,0.036387632,0.037309214,0.038276155,0.041888723
TCD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.008239768,0.00827676,0.009049774,0.009233088,0.009261885,0.009379663
SYC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.092267294,0.102855017,0.115384615,0.127284718,0.133163217,0.157322533
NAM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.03947845,0.04621966,0.05137632,0.053985302,0.053586618,0.05553187
VUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.024357117,0.026597229,0.027809201,0.03014886,0.029864852,
ARE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.309127128,0.327815493,0.378299397,0.409647635,0.42188829,0.460136431
ETH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.003440782,0.003626895,0.003865008,0.004428114,0.005197996,0.006288638
KGZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.007696487,0.008183763,0.009803922,0.011494253,0.011908137,0.012470689
ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.083665339,0.099600112,0.111896682,0.121066516,0.116529629,0.132807504
TUV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.042738138,0.04724263,0.053261689,0.055021669,0.054059163,
BDI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.001810938,0.002045941,0.002262443,0.00235538,0.002551744,0.002771264
IDN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.022908367,0.027992188,0.033748115,0.03523648,0.034306776,0.036665956
AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.032325244,0.034780991,0.039027149,0.044469568,0.045364332,0.0445534
RUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.090365809,0.102669023,0.125659879,0.139815338,0.135431434,0.121509273
GUY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.026258602,0.02966614,0.033936652,0.037120784,0.038087137,0.043594116
MOZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.004165158,0.004463871,0.004901961,0.005558696,0.00585956,0.006182051
PYF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.050162984,0.057472333,0.067401961,0.073110985,0.075323693,0.075996589
MHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.033683448,0.036082954,0.03714178,0.040041455,0.041489462,
DMA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.060666425,0.064075142,0.063914027,0.063218391,0.065778282,0.072052867
JOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.034588917,0.037105924,0.039687029,0.041643113,0.043379643,0.049882754
ZAF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.056591815,0.065563099,0.072021116,0.069719239,0.064171628,0.064485184
LBY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.110919957,0.043336743,0.102375566,0.099114377,0.073906058,0.06427201
ROM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.07777979,0.080070678,0.082390649,0.087243264,0.090634156,0.101257728
CPV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.030876494,0.032921045,0.032711161,0.033257961,0.032605614,0.03506715
PRK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
GNQ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.07135096,0.090393379,0.117458522,0.112021858,0.096493715,0.083031337
NER,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.003259689,0.003347903,0.003676471,0.003768607,0.003969379,0.004156896
SXM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.03947845,0.040825816,0.041101056,0.042208404,0.042056516,0.045725858
AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.421314741,0.46619548,0.563819759,0.617109478,0.610717324,0.640268599
BMU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1,1,1,1,,
NGA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.013219848,0.015995536,0.023284314,0.02524967,0.028069181,0.030057557
QAT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.605668236,0.668185623,0.757352941,0.840493688,0.872507324,0.910573438
HKG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.304418689,0.331907375,0.342383107,0.362916902,0.381060391,0.437007035
NPL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.004889533,0.005672835,0.006504525,0.006783493,0.006899159,0.007780857
GIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.003531329,0.003719892,0.004053544,0.004239683,0.004441924,0.005009593
CYM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
GRC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.250633828,0.232679252,0.224924585,0.214904843,0.208297892,0.216265189
MWI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.003984064,0.004463871,0.004242081,0.003768607,0.003402325,0.003730548
TJK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.006609924,0.007346787,0.008389894,0.009421519,0.012758718,0.013216798
PRI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.150670047,0.161350321,0.174019608,0.182023742,,
BHR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.168960522,0.166093183,0.183540724,0.198417185,0.197145827,0.216904711
UGA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.00498008,0.005672835,0.005938914,0.006029772,0.006332105,0.007141334
LIE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
TGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.004074611,0.004277876,0.004524887,0.004710759,0.005197996,0.005755702
BGD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.007062658,0.008090765,0.008955505,0.009515734,0.010206975,0.012683863
CAN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.402028251,0.4379243,0.482183258,0.495195025,0.489273226,0.506288638
ITA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.341361825,0.350506835,0.339366516,0.333427549,0.326434174,0.349499041
SSD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.009597972,0.008462755,0.007730015,0.009138873,0.009167375,0.008420379
CUW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
SOM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
CMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.010593988,0.011252674,0.011595023,0.012153759,0.012758718,0.014176082
BTN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.018018834,0.020180415,0.021870287,0.022046354,0.022398639,0.025261138
ESP,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.2909272,0.289593602,0.281391403,0.278311664,0.277667517,0.303986357
CIV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.010956175,0.01069469,0.011877828,0.012813265,0.013703809,0.015028779
LSO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.010503441,0.012740631,0.013763198,0.014603354,0.0125697,
PHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.024900398,0.024551288,0.028280543,0.031467873,0.033078159,0.037731827
FSM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.025986961,0.028364177,0.030354449,0.030902581,0.030242888,
BLR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.054237595,0.057007347,0.060331825,0.063972112,0.069369625,0.068855255
BRN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,0.351809955,,,
NOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.800706266,0.839486655,0.934200603,0.981062747,1,1
KIR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.018018834,0.019157444,0.023755656,0.027039759,0.029392307,0.034427627
LBN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.076512133,0.080628662,0.080033937,0.076973808,0.076741329,0.084523556
BEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.006881565,0.007160792,0.00744721,0.008102506,0.008411303,0.009166489
VCT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.054599783,0.056449363,0.059860483,0.061616733,0.062470466,0.071093583
BGR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.061934082,0.065749093,0.068438914,0.07047296,0.071921368,0.076955873
STP,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.010775081,0.01171766,0.012820513,0.014509139,0.015783007,
HRV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.124501992,0.130661211,0.12688537,0.126907858,0.122861733,0.135259007
MEX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.080043463,0.084441551,0.092100302,0.093367251,0.095265098,0.103496056
TZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.006338283,0.0068818,0.007352941,0.008008291,0.00869483,0.009699424
FIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.446667874,0.46414954,0.458804676,0.46240814,0.461487572,0.494137711
JAM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.041379935,0.044731703,0.049396682,0.049934049,0.049144693,0.053400128
GAB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.074701195,0.080442667,0.092854449,0.096758998,0.098383896,0.098166702
GHA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.01140891,0.01311262,0.014800151,0.016393443,0.015026935,0.015774888
AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.446848968,0.467869432,0.469739819,0.476728849,0.46848124,0.502238329
EST,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.132017385,0.147679717,0.160633484,0.17326173,0.179378131,0.196972927
SVK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.159272003,0.160327351,0.165158371,0.170152629,0.169643701,0.184502238
MDA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.016479536,0.018506463,0.020173454,0.023271151,0.024194311,0.023662332
BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.087377762,0.102390031,0.113310709,0.114754098,0.111426141,0.104988275
NCL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
HND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.017385005,0.019436436,0.020739065,0.021198417,0.021453549,0.024195268
MAC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.415519739,0.513531108,0.58352187,0.674769173,0.721103865,
SAU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.16724013,0.190179485,0.223322021,0.237704918,0.240998015,0.251012577
PAN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.063473379,0.077652748,0.089649321,0.099208592,0.108023816,0.128437433
AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.004708439,0.005300846,0.00678733,0.006877709,0.006332105,0.006714986
KHM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.006791018,0.007532782,0.008295626,0.009044658,0.009639921,0.011404818
URY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.094078233,0.111596764,0.131127451,0.146787262,0.153199131,0.167554892
GUM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
ISR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.268381021,0.294057472,0.306089744,0.323440739,0.333994897,0.377744617
ERI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.003440782,0.004463871,,,,
IRL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.405106845,0.400818376,0.397435897,0.418786508,0.438994424,0.497548497
NLD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.484697573,0.503301404,0.494909502,0.494347089,0.484358756,0.521637178
FRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.39650489,0.411234074,0.405542986,0.409836066,0.404687648,0.432530377
DZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.040474466,0.042685762,0.049019608,0.052006783,0.051885455,0.051907909
IMY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.652299891,0.675811401,0.74321267,0.790653853,,
